modelo,variable,importancia
RFR,Blue,0.11510529886749359
RFR,Green,0.11335471870224292
RFR,NDVI,0.09966153067082363
RFR,Red,0.09482291981907767
RFR,SAVI,0.09086036214881076
RFR,ARI,0.08565524828774847
RFR,GNDVI,0.07855684721118422
RFR,Pan,0.04280884831995752
RFR,NDRE,0.04203467841849371
RFR,RENDVI,0.04178172144103286
RFR,CIgreen,0.0408681066884332
RFR,VARI,0.03838545321722396
RFR,CIRE,0.03530373585331108
RFR,NDWI,0.02944788474670808
RFR,RedEdge,0.026028743465580404
RFR,NIR,0.01559240598086131
RFR,EVI,0.00973149616101668
