modelo,variable,importancia
GBR,ARI,0.26883145832258615
GBR,NIR,0.16482045044111
GBR,GNDVI,0.12967688357866372
GBR,NDWI,0.11012266977575476
GBR,EVI,0.08628566721754213
GBR,Green,0.07962922612610918
GBR,Pan,0.056435355531292024
GBR,VARI,0.055517349043692106
GBR,RedEdge,0.030123897834006375
GBR,CIRE,0.004995680655185658
GBR,CIgreen,0.004533014141456677
GBR,NDRE,0.003861787307713973
GBR,SAVI,0.002003699442531671
GBR,Blue,0.0015229311250193143
GBR,NDVI,0.0006884062651320147
GBR,Red,0.0006290603564389158
GBR,RENDVI,0.00032246283576533273
RFR,Blue,0.11510529886749359
RFR,Green,0.11335471870224292
RFR,NDVI,0.09966153067082363
RFR,Red,0.09482291981907767
RFR,SAVI,0.09086036214881076
RFR,ARI,0.08565524828774847
RFR,GNDVI,0.07855684721118422
RFR,Pan,0.04280884831995752
RFR,NDRE,0.04203467841849371
RFR,RENDVI,0.04178172144103286
RFR,CIgreen,0.0408681066884332
RFR,VARI,0.03838545321722396
RFR,CIRE,0.03530373585331108
RFR,NDWI,0.02944788474670808
RFR,RedEdge,0.026028743465580404
RFR,NIR,0.01559240598086131
RFR,EVI,0.00973149616101668
