,Blue,Green,Pan,Red,RedEdge,NIR,NDVI,NDWI,EVI,SAVI,GNDVI,VARI,NDRE,CIgreen,CIRE,ARI,RENDVI,DQO,Fosfatos,Turbidez,Nitratos,Sulfatos,ficocianin,Chl,CE,pH
Blue,1.0,0.9484919384539616,0.9000962141590634,0.9860859806231793,0.8115754726498869,0.20091445509861902,-0.7083694275664777,-0.7238961431082741,0.13343762340544602,-0.7081421112569363,0.27605781679638053,-0.6944863929271496,0.3544409052990807,-0.6858198263539109,-0.7475259304568203,-0.7410166273045191,0.3544409052990807,-0.2051699653716124,-0.08822050261407526,-0.2878127821073801,-0.09368626763955817,-0.2752309176802052,-0.0640409128434394,-0.1986661571745909,-0.15089540110465155,-0.14381925990873304
Green,0.9484919384539616,1.0,0.9507825171501304,0.9632851576575501,0.9131642406696304,0.341231190031304,-0.6052038840536894,-0.851954226619132,0.13100657253971934,-0.6049150895994649,0.2722960214923854,-0.5839810875369695,0.3256399716313555,-0.667682051637544,-0.7748282925108156,-0.7733556990115167,0.3256399716313555,-0.1806248134284167,-0.03151568176746209,-0.2829251645690327,-0.14203070847055457,-0.22396004623183058,-0.06077521749663727,-0.18080737561825602,-0.0980989052906594,-0.11625044904985435
Pan,0.9000962141590634,0.9507825171501304,1.0,0.9380267577066187,0.9768204515309574,0.5542725695310254,-0.43573365870847863,-0.8827915313227479,0.1536679762029078,-0.4354113695384661,0.22554833128066373,-0.6484421937248372,0.21960478823565804,-0.4730796283099918,-0.6418624205116531,-0.6605080997244231,0.21960478823565804,-0.13975422056858883,0.03127260207149293,-0.24798892983800316,-0.05872286620285458,-0.200976324373105,-0.048366606621532277,-0.19006793654103118,-0.05646779708761725,-0.08496945854702981
Red,0.9860859806231793,0.9632851576575501,0.9380267577066187,1.0,0.8615750951816558,0.27986457904985695,-0.6658237544826453,-0.7738725773662999,0.123825717120851,-0.6655691895528876,0.24611510700511222,-0.745780140135481,0.32776303930570466,-0.6562345092224571,-0.7423369999788997,-0.7372451151370424,0.32776303930570466,-0.1682629157887798,-0.052514620115553884,-0.25898908751681304,-0.07789968218628134,-0.2393020559542899,-0.07095437780161723,-0.16860093515312347,-0.11804428481641718,-0.11596909175168221
RedEdge,0.8115754726498869,0.9131642406696304,0.9768204515309574,0.8615750951816558,1.0,0.6566414295894328,-0.3059506070007944,-0.9321049739291654,0.13595379237734037,-0.3055940871595624,0.170369790284219,-0.5576749102072622,0.14190413984634487,-0.4015553765797261,-0.6089358060860316,-0.6183378948116737,0.14190413984634487,-0.10772336363380494,0.07089358395913031,-0.21334671338850947,-0.0859852827406861,-0.17449949154949204,-0.04229149169529388,-0.14705373985671036,-0.013009470245594791,-0.057421833730006026
NIR,0.20091445509861902,0.341231190031304,0.5542725695310254,0.27986457904985695,0.6566414295894328,1.0,0.4816734418141799,-0.6379276293757732,-0.01697651779493687,0.48198753533015537,-0.056343873605637695,-0.18735126263150803,-0.37988061784498106,0.37586560372013117,0.1357527378378119,-0.0405241969239913,-0.37988061784498106,0.06332460826924903,0.24516543965325388,0.014109498419556814,0.062429614652778465,-0.006395201087013246,-0.03833504942924003,-0.045521206369803044,0.13521559424822854,0.07180508800905082
NDVI,-0.7083694275664777,-0.6052038840536894,-0.43573365870847863,-0.6658237544826453,-0.3059506070007944,0.4816734418141799,1.0,0.22555395000387277,-0.12059955144138858,0.9999999184390131,-0.2679705092187709,0.5051602428400156,-0.7002017629807985,0.9033736630427907,0.8337671494086444,0.6763861736978164,-0.7002017629807985,0.2330307889479389,0.25009821867156734,0.27217034545672397,0.12250077357077371,0.21734382985771392,0.04376272071716684,0.12274643551020052,0.23777634683322268,0.20081680894597848
NDWI,-0.7238961431082741,-0.851954226619132,-0.8827915313227479,-0.7738725773662999,-0.9321049739291654,-0.6379276293757732,0.22555395000387277,1.0,-0.11210639102862004,0.22516422595258023,-0.1291693481179441,0.5323306970261843,-0.027883410952140034,0.37629910595653754,0.6030157419373118,0.5321753159238836,-0.027883410952140034,0.05777760013592613,-0.09015898008430624,0.14346196076668366,0.10860255058904769,0.14512277161535242,0.034243379941511956,0.07619164335937381,-0.015852875188448034,0.03524589219653877
EVI,0.13343762340544602,0.13100657253971934,0.1536679762029078,0.123825717120851,0.13595379237734037,-0.01697651779493687,-0.12059955144138858,-0.11210639102862004,1.0,-0.12056376423360657,-0.029209184972659435,-0.1615015116733453,0.1315441394604386,-0.0684505134407964,-0.11212093886416649,0.006568799020893337,0.1315441394604386,-0.08232942723137023,-0.01775201507336322,-0.13154595459963409,0.047780666196343934,-0.09513513018396176,-0.010808475211071235,-0.16556091968708142,-0.01267965975323123,-0.023313139486895243
SAVI,-0.7081421112569363,-0.6049150895994649,-0.4354113695384661,-0.6655691895528876,-0.3055940871595624,0.48198753533015537,0.9999999184390131,0.22516422595258023,-0.12056376423360657,1.0,-0.2679843762087439,0.5049721992409016,-0.7002563747683792,0.9033006737052165,0.8335910186896828,0.6762230851853573,-0.7002563747683792,0.2330263506214215,0.25015626053999707,0.2721354883494557,0.12247649536420334,0.21730269072720249,0.04374797998086816,0.12273471950893568,0.23779802135532618,0.2008122997920765
