,Blue,Green,Pan,Red,RedEdge,NIR,NDVI,NDWI,EVI,SAVI,GNDVI,VARI,NDRE,CIgreen,CIRE,ARI,RENDVI,ln_DQO,ln_Fosfatos,ln_Turbidez,ln_Nitratos,ln_Sulfatos,ln_ficocianin,ln_Chl,ln_CE,pH
Blue,1.0,0.9484919384539616,0.9000962141590634,0.9860859806231793,0.8115754726498869,0.20091445509861902,-0.7083694275664777,-0.7238961431082741,0.13343762340544602,-0.7081421112569363,0.27605781679638053,-0.6944863929271496,0.3544409052990807,-0.6858198263539109,-0.7475259304568203,-0.7410166273045191,0.3544409052990807,-0.16800052978088048,0.19882868086126315,-0.20492197840728463,0.27350115845180234,-0.2521856688799881,0.11047773649969199,-0.3316803730524357,-0.1469111349489648,-0.14381925990873304
Green,0.9484919384539616,1.0,0.9507825171501304,0.9632851576575501,0.9131642406696304,0.341231190031304,-0.6052038840536894,-0.851954226619132,0.13100657253971934,-0.6049150895994649,0.2722960214923854,-0.5839810875369695,0.3256399716313555,-0.667682051637544,-0.7748282925108156,-0.7733556990115167,0.3256399716313555,-0.12549911391885896,0.18362196920880156,-0.17877691641825882,0.332194481141615,-0.19748091441522123,0.06723943354504378,-0.3046151705003178,-0.09978301447157953,-0.11625044904985435
Pan,0.9000962141590634,0.9507825171501304,1.0,0.9380267577066187,0.9768204515309574,0.5542725695310254,-0.43573365870847863,-0.8827915313227479,0.1536679762029078,-0.4354113695384661,0.22554833128066373,-0.6484421937248372,0.21960478823565804,-0.4730796283099918,-0.6418624205116531,-0.6605080997244231,0.21960478823565804,-0.08560891204628586,0.1960887216871737,-0.14672573155243893,0.266448919254148,-0.17389284040401573,0.022235238582803494,-0.2965929747411916,-0.05993186300351973,-0.08496945854702981
Red,0.9860859806231793,0.9632851576575501,0.9380267577066187,1.0,0.8615750951816558,0.27986457904985695,-0.6658237544826453,-0.7738725773662999,0.123825717120851,-0.6655691895528876,0.24611510700511222,-0.745780140135481,0.32776303930570466,-0.6562345092224571,-0.7423369999788997,-0.7372451151370424,0.32776303930570466,-0.1344256571587912,0.18539268399263928,-0.18296185635816595,0.2568284090639654,-0.21749644005387006,0.06991061854394326,-0.29896680564627326,-0.11525366475877852,-0.11596909175168221
RedEdge,0.8115754726498869,0.9131642406696304,0.9768204515309574,0.8615750951816558,1.0,0.6566414295894328,-0.3059506070007944,-0.9321049739291654,0.13595379237734037,-0.3055940871595624,0.170369790284219,-0.5576749102072622,0.14190413984634487,-0.4015553765797261,-0.6089358060860316,-0.6183378948116737,0.14190413984634487,-0.04713423931319836,0.16937644319819892,-0.10912430715241744,0.2986675227793673,-0.14790105103382992,-0.007365305446324827,-0.24418220529502502,-0.02001940647470338,-0.057421833730006026
NIR,0.20091445509861902,0.341231190031304,0.5542725695310254,0.27986457904985695,0.6566414295894328,1.0,0.4816734418141799,-0.6379276293757732,-0.01697651779493687,0.48198753533015537,-0.056343873605637695,-0.18735126263150803,-0.37988061784498106,0.37586560372013117,0.1357527378378119,-0.0405241969239913,-0.37988061784498106,0.10843001158976744,0.1191607980126031,0.05749866315495199,0.08867040008726909,0.012117233176640462,-0.14322951964595462,-0.04715591436493764,0.12558207084296782,0.07180508800905082
NDVI,-0.7083694275664777,-0.6052038840536894,-0.43573365870847863,-0.6658237544826453,-0.3059506070007944,0.4816734418141799,1.0,0.22555395000387277,-0.12059955144138858,0.9999999184390131,-0.2679705092187709,0.5051602428400156,-0.7002017629807985,0.9033736630427907,0.8337671494086444,0.6763861736978164,-0.7002017629807985,0.23762503028174076,-0.11963035463065093,0.22382499486365778,-0.17296105756830393,0.21221970579217572,-0.1974931746214833,0.23154400616921045,0.2322905150200368,0.20081680894597848
NDWI,-0.7238961431082741,-0.851954226619132,-0.8827915313227479,-0.7738725773662999,-0.9321049739291654,-0.6379276293757732,0.22555395000387277,1.0,-0.11210639102862004,0.22516422595258023,-0.1291693481179441,0.5323306970261843,-0.027883410952140034,0.37629910595653754,0.6030157419373118,0.5321753159238836,-0.027883410952140034,0.014614274063060725,-0.14038969145600588,0.06432466817179355,-0.3074068327477055,0.1244820421772356,0.03237346008917787,0.15808101101322108,-0.006475655195191601,0.03524589219653877
EVI,0.13343762340544602,0.13100657253971934,0.1536679762029078,0.123825717120851,0.13595379237734037,-0.01697651779493687,-0.12059955144138858,-0.11210639102862004,1.0,-0.12056376423360657,-0.029209184972659435,-0.1615015116733453,0.1315441394604386,-0.0684505134407964,-0.11212093886416649,0.006568799020893337,0.1315441394604386,-0.03642487279847315,0.01509376109004987,-0.04572495063263141,0.01704695604529436,-0.08778842264200663,0.1190724451106137,-0.15162012820771018,-0.01726784978393658,-0.023313139486895243
SAVI,-0.7081421112569363,-0.6049150895994649,-0.4354113695384661,-0.6655691895528876,-0.3055940871595624,0.48198753533015537,0.9999999184390131,0.22516422595258023,-0.12056376423360657,1.0,-0.2679843762087439,0.5049721992409016,-0.7002563747683792,0.9033006737052165,0.8335910186896828,0.6762230851853573,-0.7002563747683792,0.2376345536246942,-0.11957104843777455,0.22381466452934295,-0.1728599422426831,0.21218554998148462,-0.19752535307680094,0.23151193984880208,0.2323072290794101,0.2008122997920765
