orden,banda
1,B2
2,B3
3,B4
4,B8
5,B5
6,B6
7,B7
8,B8A
9,B11
10,B12
11,NDVI
12,EVI
13,SAVI
14,MNDWI
15,NDMI
16,NDBI
17,TEX_B2_contrast
18,TEX_B2_diss
19,TEX_B2_ent
20,TEX_B2_asm
21,TEX_B2_idm
22,TEX_B2_corr
23,TEX_B2_var
24,TEX_B2_sent
25,TEX_B3_contrast
26,TEX_B3_diss
27,TEX_B3_ent
28,TEX_B3_asm
29,TEX_B3_idm
30,TEX_B3_corr
31,TEX_B3_var
32,TEX_B3_sent
33,TEX_B4_contrast
34,TEX_B4_diss
35,TEX_B4_ent
36,TEX_B4_asm
37,TEX_B4_idm
38,TEX_B4_corr
39,TEX_B4_var
40,TEX_B4_sent
41,TEX_B8_contrast
42,TEX_B8_diss
43,TEX_B8_ent
44,TEX_B8_asm
45,TEX_B8_idm
46,TEX_B8_corr
47,TEX_B8_var
48,TEX_B8_sent
