variable,importancia_media,importancia_std
EVI,0.26003420864827237,0.06593270869630069
TEX_B3_contrast,0.23020764792095677,0.056637111950266376
TEX_B8_corr,0.07199657206385,0.02816590973159918
B5,0.0,0.0
B8,0.0,0.0
B2,0.0,0.0
NDVI,0.0,0.0
B6,0.0,0.0
TEX_B2_ent,0.0,0.0
NDMI,0.0,0.0
TEX_B2_asm,0.0,0.0
TEX_B2_corr,0.0,0.0
TEX_B2_var,0.0,0.0
TEX_B2_contrast,0.0,0.0
TEX_B3_ent,0.0,0.0
TEX_B3_corr,0.0,0.0
TEX_B4_corr,0.0,0.0
TEX_B4_asm,0.0,0.0
TEX_B8_contrast,0.0,0.0
TEX_B8_ent,0.0,0.0
TEX_B8_var,0.0,0.0
TEX_B8_sent,0.0,0.0
