band1,band2,r
NDMI,NDBI,-1.0
EVI,SAVI,0.986638599478982
TEX_B3_diss,TEX_B4_diss,0.9827538786959473
TEX_B2_ent,TEX_B2_sent,0.9817603496784175
B3,B4,0.9796362560613102
B7,B8A,0.9747535808951217
TEX_B2_diss,TEX_B3_diss,0.9736461019504837
TEX_B2_ent,TEX_B2_idm,-0.9726170809370468
B2,B3,0.9713704793094378
TEX_B3_ent,TEX_B3_sent,0.9710279365143344
TEX_B3_var,TEX_B4_var,0.9698586340123777
B6,B7,0.9686618044848201
B2,B4,0.96674637857073
TEX_B2_idm,TEX_B4_idm,0.9665290479824098
TEX_B3_ent,TEX_B3_idm,-0.9658910333486207
TEX_B2_idm,TEX_B2_sent,-0.9624325880396428
TEX_B8_ent,TEX_B8_asm,-0.9620728617687059
TEX_B4_ent,TEX_B4_sent,0.9601912798659097
TEX_B3_idm,TEX_B4_idm,0.9601457469653524
TEX_B2_idm,TEX_B3_idm,0.9589786111796458
TEX_B4_ent,TEX_B4_idm,-0.9578391542814675
TEX_B8_contrast,TEX_B8_diss,0.9561079404164374
B5,B12,0.9561046556015141
TEX_B2_sent,TEX_B4_sent,0.9523843273236053
TEX_B3_contrast,TEX_B4_contrast,0.951672201996558
TEX_B2_diss,TEX_B4_diss,0.9514954990381719
TEX_B2_var,TEX_B3_var,0.9494882642119901
TEX_B2_ent,TEX_B4_idm,-0.9466730866832728
TEX_B3_sent,TEX_B4_sent,0.9457758079228566
B3,MNDWI,0.9448663062409335
B6,B8A,0.9440682066570797
TEX_B3_idm,TEX_B3_sent,-0.9435671421530917
TEX_B2_contrast,TEX_B2_diss,0.9432753137526914
TEX_B2_sent,TEX_B4_idm,-0.9406297897591597
TEX_B2_ent,TEX_B4_ent,0.9397857431601822
TEX_B3_ent,TEX_B3_asm,-0.9381961676639086
TEX_B2_sent,TEX_B3_sent,0.9376302281639923
TEX_B8_ent,TEX_B8_idm,-0.9362969517030122
TEX_B4_contrast,TEX_B4_diss,0.9326203407929908
TEX_B2_sent,TEX_B4_ent,0.9307306695866566
TEX_B4_idm,TEX_B4_sent,-0.9299907669671172
TEX_B3_ent,TEX_B4_idm,-0.9286698500948517
B5,B11,0.9268591748742125
TEX_B2_contrast,TEX_B3_diss,0.9268444216441674
TEX_B2_sent,TEX_B3_idm,-0.9262799391686549
B4,B5,0.9233413572391317
TEX_B2_ent,TEX_B3_idm,-0.9226690203839187
TEX_B3_ent,TEX_B4_ent,0.9226039244255122
TEX_B2_ent,TEX_B4_sent,0.9225753958507239
TEX_B2_contrast,TEX_B3_contrast,0.9208557888065857
TEX_B8_ent,TEX_B8_sent,0.9205474943495661
B2,MNDWI,0.9204931069296528
TEX_B2_sent,TEX_B3_ent,0.9196826139637723
B11,B12,0.9191611184384596
TEX_B2_corr,TEX_B4_corr,0.9183478088962437
TEX_B2_ent,TEX_B3_ent,0.9179465172779031
TEX_B3_ent,TEX_B4_sent,0.9176637815326667
TEX_B4_ent,TEX_B4_asm,-0.9175233957130767
B4,MNDWI,0.9167616742234745
B4,B12,0.9163216407526701
TEX_B2_idm,TEX_B3_ent,-0.9149285207313167
TEX_B3_diss,TEX_B4_contrast,0.9146303160496582
B3,B5,0.9144409930908954
TEX_B3_sent,TEX_B4_idm,-0.9136541821504103
TEX_B3_contrast,TEX_B3_diss,0.9124200177253274
TEX_B2_idm,TEX_B4_ent,-0.9109326137058172
TEX_B2_var,TEX_B4_var,0.9057317677889063
TEX_B3_var,TEX_B4_contrast,0.905710436789932
TEX_B2_diss,TEX_B2_idm,-0.9054361468313408
B4,NDVI,-0.9049602219311061
B8,B8A,0.9048009468062318
TEX_B3_idm,TEX_B4_ent,-0.9046877388397603
TEX_B3_sent,TEX_B4_ent,0.9042984800279659
TEX_B2_ent,TEX_B3_sent,0.9036167734790518
TEX_B2_idm,TEX_B3_sent,-0.9020701183127262
NDVI,SAVI,0.902022010816385
TEX_B3_idm,TEX_B4_sent,-0.9014286669753978
B8,B7,0.901230025636869
B3,B12,0.9001249629438358
