band1,band2,r
NDMI,NDBI,-1.0
TEX_B8_ent,TEX_B8_asm,-0.9976263680837689
TEX_B3_ent,TEX_B3_asm,-0.9966729615225519
TEX_B4_ent,TEX_B4_asm,-0.9959656162824828
TEX_B8_contrast,TEX_B8_diss,0.9950842503480496
TEX_B3_contrast,TEX_B3_diss,0.9943512682812794
TEX_B2_ent,TEX_B2_asm,-0.993876877752408
TEX_B2_contrast,TEX_B2_diss,0.993729322612061
TEX_B4_contrast,TEX_B4_diss,0.9929205480910536
EVI,SAVI,0.9859074303040906
TEX_B3_contrast,TEX_B4_contrast,0.9830622048088578
TEX_B3_var,TEX_B4_var,0.9824819565906509
TEX_B2_ent,TEX_B2_idm,-0.9822525863432033
TEX_B3_diss,TEX_B4_diss,0.9817362191746426
TEX_B2_var,TEX_B3_var,0.9802978555680016
B2,B4,0.9794135202001701
TEX_B2_var,TEX_B4_var,0.9776191496141013
TEX_B3_contrast,TEX_B4_diss,0.9774990673217496
TEX_B3_diss,TEX_B4_contrast,0.9770216609622525
TEX_B2_diss,TEX_B2_idm,-0.9766915684202075
TEX_B3_ent,TEX_B3_idm,-0.9766078587638813
TEX_B2_contrast,TEX_B3_diss,0.9763419231521533
TEX_B2_contrast,TEX_B3_contrast,0.9761164961796901
B6,B7,0.9753810705642353
TEX_B2_contrast,TEX_B4_diss,0.9751999849305236
TEX_B2_diss,TEX_B4_diss,0.9750851679130019
TEX_B3_diss,TEX_B3_idm,-0.9749357715666522
TEX_B4_ent,TEX_B4_idm,-0.9747827669838134
TEX_B2_diss,TEX_B3_diss,0.97380717283044
TEX_B2_asm,TEX_B2_idm,0.9737016540264325
TEX_B2_ent,TEX_B2_sent,0.9736824573678869
TEX_B2_contrast,TEX_B4_contrast,0.9733929629172654
B2,B3,0.9733024087504822
TEX_B3_asm,TEX_B3_idm,0.9720856532391037
TEX_B2_contrast,TEX_B2_var,0.971500233443109
TEX_B3_contrast,TEX_B3_var,0.9702898181754929
TEX_B4_asm,TEX_B4_idm,0.9687960913462466
B3,B4,0.9678795338833371
TEX_B3_ent,TEX_B3_sent,0.9676036405697521
B7,B8A,0.9656267039998376
TEX_B2_diss,TEX_B3_contrast,0.965289143914185
TEX_B2_diss,TEX_B4_contrast,0.9636955901658038
TEX_B4_contrast,TEX_B4_var,0.9631514149133399
TEX_B2_idm,TEX_B4_idm,0.9623940466798344
TEX_B3_var,TEX_B4_contrast,0.9620443623607932
TEX_B2_var,TEX_B4_contrast,0.9617550019914192
TEX_B3_diss,TEX_B3_var,0.9614947136738116
TEX_B2_diss,TEX_B2_var,0.9613536941400684
TEX_B4_diss,TEX_B4_idm,-0.9609255482724015
TEX_B2_asm,TEX_B2_sent,-0.9606905102643303
TEX_B2_diss,TEX_B2_ent,0.960187595389294
TEX_B3_var,TEX_B3_sent,0.9599197027978097
TEX_B2_sent,TEX_B4_sent,0.9597986697393313
TEX_B2_var,TEX_B3_contrast,0.9596947078306791
TEX_B3_sent,TEX_B4_sent,0.9589887976073875
TEX_B2_var,TEX_B4_diss,0.9589857529586331
TEX_B3_asm,TEX_B3_sent,-0.9588280965645056
TEX_B3_idm,TEX_B4_idm,0.9584835332756207
TEX_B2_idm,TEX_B3_idm,0.9574940375127028
TEX_B2_diss,TEX_B3_idm,-0.9570932118123335
TEX_B2_var,TEX_B2_sent,0.9563688792625388
TEX_B2_sent,TEX_B3_sent,0.9563676077001958
TEX_B3_diss,TEX_B3_ent,0.956254297386769
TEX_B4_ent,TEX_B4_sent,0.9562396130785717
TEX_B2_var,TEX_B3_diss,0.95553628540859
