variable,seleccionada,eliminada
B2,True,False
B3,False,True
B4,False,True
B8,True,False
B5,True,False
B6,True,False
B7,False,True
B8A,False,True
B11,False,True
B12,False,True
NDVI,True,False
EVI,True,False
SAVI,False,True
MNDWI,False,True
NDMI,True,False
NDBI,False,True
TEX_B2_contrast,True,False
TEX_B2_diss,False,True
TEX_B2_ent,True,False
TEX_B2_asm,True,False
TEX_B2_idm,False,True
TEX_B2_corr,True,False
TEX_B2_var,True,False
TEX_B2_sent,False,True
TEX_B3_contrast,True,False
TEX_B3_diss,False,True
TEX_B3_ent,True,False
TEX_B3_asm,False,True
TEX_B3_idm,False,True
TEX_B3_corr,True,False
TEX_B3_var,False,True
TEX_B3_sent,False,True
TEX_B4_contrast,False,True
TEX_B4_diss,False,True
TEX_B4_ent,False,True
TEX_B4_asm,True,False
TEX_B4_idm,False,True
TEX_B4_corr,True,False
TEX_B4_var,False,True
TEX_B4_sent,False,True
TEX_B8_contrast,True,False
TEX_B8_diss,False,True
TEX_B8_ent,True,False
TEX_B8_asm,False,True
TEX_B8_idm,False,True
TEX_B8_corr,True,False
TEX_B8_var,True,False
TEX_B8_sent,True,False
